Pemlr1,Month_of_Month_of_Period,Education,Number
Employed - at work,January 2020,High school or less,0
Employed - at work,February 2020,High school or less,257865.088200025
Employed - at work,March 2020,High school or less,-2397919.50629999
Employed - at work,April 2020,High school or less,-14170050.3672
Employed - at work,May 2020,High school or less,-10577453.3699
Employed - at work,June 2020,High school or less,-8251323.68879998
Employed - at work,July 2020,High school or less,-7649060.0812
Employed - at work,August 2020,High school or less,-6153508.43120002
Employed - at work,September 2020,High school or less,-3590746.11799999
Employed - at work,October 2020,High school or less,-2301457.88529998
Employed - at work,November 2020,High school or less,-2262462.62289999
Employed - at work,December 2020,High school or less,-3370139.89919998
Employed - at work,January 2021,High school or less,-4206126.89469998
Employed - at work,February 2021,High school or less,-4606392.8317
Employed - at work,March 2021,High school or less,-3465557.05949996
Employed - at work,January 2020,Some college/Associate's degree,0
Employed - at work,February 2020,Some college/Associate's degree,305188.082700007
Employed - at work,March 2020,Some college/Associate's degree,-1067708.82180002
Employed - at work,April 2020,Some college/Associate's degree,-9886015.98540002
Employed - at work,May 2020,Some college/Associate's degree,-7974531.63120004
Employed - at work,June 2020,Some college/Associate's degree,-5135416.43560003
Employed - at work,July 2020,Some college/Associate's degree,-4904507.94910002
Employed - at work,August 2020,Some college/Associate's degree,-4245851.82790001
Employed - at work,September 2020,Some college/Associate's degree,-4269448.14970002
Employed - at work,October 2020,Some college/Associate's degree,-2841243.46410003
Employed - at work,November 2020,Some college/Associate's degree,-3249205.90520001
Employed - at work,December 2020,Some college/Associate's degree,-3763666.83830002
Employed - at work,January 2021,Some college/Associate's degree,-4179867.98069999
Employed - at work,February 2021,Some college/Associate's degree,-3819475.22100002
Employed - at work,March 2021,Some college/Associate's degree,-3313188.12549999
Employed - at work,January 2020,Bachelor's degree or higher,0
Employed - at work,February 2020,Bachelor's degree or higher,627895.755900033
Employed - at work,March 2020,Bachelor's degree or higher,-297310.720399968
Employed - at work,April 2020,Bachelor's degree or higher,-5943106.9766
Employed - at work,May 2020,Bachelor's degree or higher,-4395785.25000001
Employed - at work,June 2020,Bachelor's degree or higher,-4357981.00819995
Employed - at work,July 2020,Bachelor's degree or higher,-5621595.98710001
Employed - at work,August 2020,Bachelor's degree or higher,-2949255.64119998
Employed - at work,September 2020,Bachelor's degree or higher,-2261252.41089999
Employed - at work,October 2020,Bachelor's degree or higher,-1915629.12599999
Employed - at work,November 2020,Bachelor's degree or higher,-1878139.2015
Employed - at work,December 2020,Bachelor's degree or higher,-1311118.42090001
Employed - at work,January 2021,Bachelor's degree or higher,-1243821.61339998
Employed - at work,February 2021,Bachelor's degree or higher,75951.48400002
Employed - at work,March 2021,Bachelor's degree or higher,121904.3072
Unemployed,January 2020,High school or less,0
Unemployed,February 2020,High school or less,-173584.256400001
Unemployed,March 2020,High school or less,178429.027799999
Unemployed,April 2020,High school or less,6323293.80129999
Unemployed,May 2020,High school or less,5398078.5959
Unemployed,June 2020,High school or less,3714176.7856
Unemployed,July 2020,High school or less,3267633.3596
Unemployed,August 2020,High school or less,2479646.2114
Unemployed,September 2020,High school or less,1958502.3967
Unemployed,October 2020,High school or less,1411475.8002
Unemployed,November 2020,High school or less,1258310.4401
Unemployed,December 2020,High school or less,1609406.6801
Unemployed,January 2021,High school or less,1703647.3608
Unemployed,February 2021,High school or less,1594971.2352
Unemployed,March 2021,High school or less,1219942.4554
Unemployed,January 2020,Some college/Associate's degree,0
Unemployed,February 2020,Some college/Associate's degree,-15797.6432
Unemployed,March 2020,Some college/Associate's degree,386971.7811
Unemployed,April 2020,Some college/Associate's degree,5515580.5114
Unemployed,May 2020,Some college/Associate's degree,4825951.5963
Unemployed,June 2020,Some college/Associate's degree,3790728.2225
Unemployed,July 2020,Some college/Associate's degree,3269641.6637
Unemployed,August 2020,Some college/Associate's degree,2166856.6469
Unemployed,September 2020,Some college/Associate's degree,2019700.2698
Unemployed,October 2020,Some college/Associate's degree,1434753.7466
Unemployed,November 2020,Some college/Associate's degree,1210943.8505
Unemployed,December 2020,Some college/Associate's degree,1299703.7296
Unemployed,January 2021,Some college/Associate's degree,1295754.068
Unemployed,February 2021,Some college/Associate's degree,1130727.6588
Unemployed,March 2021,Some college/Associate's degree,1182068.2344
Unemployed,January 2020,Bachelor's degree or higher,0
Unemployed,February 2020,Bachelor's degree or higher,-65014.8126
Unemployed,March 2020,Bachelor's degree or higher,268252.4777
Unemployed,April 2020,Bachelor's degree or higher,4079184.9799
Unemployed,May 2020,Bachelor's degree or higher,3421707.407
Unemployed,June 2020,Bachelor's degree or higher,3484838.2962
Unemployed,July 2020,Bachelor's degree or higher,3467287.2613
Unemployed,August 2020,Bachelor's degree or higher,2439630.5113
Unemployed,September 2020,Bachelor's degree or higher,1739083.8068
Unemployed,October 2020,Bachelor's degree or higher,1282790.0723
Unemployed,November 2020,Bachelor's degree or higher,1230461.3605
Unemployed,December 2020,Bachelor's degree or higher,1065769.7348
Unemployed,January 2021,Bachelor's degree or higher,1321561.2959
Unemployed,February 2021,Bachelor's degree or higher,1241815.6725
Unemployed,March 2021,Bachelor's degree or higher,1075367.4077